
###2017-08-16 00:04:18.059562
code   SU%  SD%  LU% LD%  NAME
035420  49   50   49   50   NAVER
006400  48   51   48   51   삼성SDI
168330  46   53   48   51   내츄럴엔도텍
017670  52   47   49   50   SK텔레콤
005420  51   48   50   49   코스모화학
011170  47   52   48   51   롯데케미칼
091990  52   47   47   52   셀트리온헬스케어
005930  48   51   47   52   삼성전자
000660  47   52   47   52   SK하이닉스
034220  54   45   49   50   LG디스플레이
035810  49   50   48   51   이지바이오
265520  48   51   49   50   AP시스템
207940  46   53   47   52   삼성바이오로직스
051910  45   54   48   51   LG화학
009830  44   55   47   52   한화케미칼
066970  47   52   49   50   엘앤에프
067170  53   46   50   49   오텍
001440  46   53   49   50   대한전선
201490  48   51   49   50   미투온
194510  43   56   48   51   파티게임즈
035720  42   57   48   51   카카오
047810  51   48   48   51   한국항공우주
185750  52   47   49   50   종근당
009150  45   54   48   51   삼성전기
068790  48   51   49   50   DMS
065450  50   50   49   50   빅텍
005490  47   52   48   51   POSCO
114090  46   53   48   51   GKL
251270  48   51   49   50   넷마블게임즈
073560  46   53   49   50   우리손에프앤지

###2017-08-16 00:28:58.085985
code   SU%  SD%  LU% LD%  NAME
035420  49   50   49   50   NAVER
006400  48   51   48   51   삼성SDI
168330  46   53   48   51   내츄럴엔도텍
017670  52   47   49   50   SK텔레콤
005420  51   48   50   49   코스모화학
011170  47   52   48   51   롯데케미칼
091990  52   47   47   52   셀트리온헬스케어
005930  48   51   47   52   삼성전자
000660  47   52   47   52   SK하이닉스
034220  54   45   49   50   LG디스플레이
035810  49   50   48   51   이지바이오
265520  48   51   49   50   AP시스템
207940  46   53   47   52   삼성바이오로직스
051910  45   54   48   51   LG화학
009830  44   55   47   52   한화케미칼
066970  47   52   49   50   엘앤에프
067170  53   46   50   49   오텍
001440  46   53   49   50   대한전선
201490  48   51   49   50   미투온
194510  43   56   48   51   파티게임즈
035720  42   57   48   51   카카오
047810  51   48   48   51   한국항공우주
185750  52   47   49   50   종근당
009150  45   54   48   51   삼성전기
068790  48   51   49   50   DMS
065450  50   50   49   50   빅텍
005490  47   52   48   51   POSCO
114090  46   53   48   51   GKL
251270  48   51   49   50   넷마블게임즈
073560  46   53   49   50   우리손에프앤지

###2017-08-20 10:22:04.855917
code   SU%  SD%  LU% LD%  NAME
035420  47   52   49   50   NAVER
006400  49   50   49   50   삼성SDI
168330  46   53   46   53   내츄럴엔도텍
017670  53   46   50   49   SK텔레콤
005420  43   56   47   52   코스모화학
011170  45   54   49   50   롯데케미칼
091990  49   50   49   50   셀트리온헬스케어
005930  50   49   47   52   삼성전자
000660  45   54   48   51   SK하이닉스
034220  49   50   49   50   LG디스플레이
035810  46   53   48   51   이지바이오
265520  46   53   50   49   AP시스템
207940  46   53   48   51   삼성바이오로직스
051910  41   58   46   53   LG화학
009830  45   54   48   51   한화케미칼
066970  43   56   47   52   엘앤에프
067170  42   57   46   53   오텍
001440  43   56   47   52   대한전선
201490  50   49   49   50   미투온
194510  47   52   47   52   파티게임즈
035720  46   53   50   49   카카오
047810  51   48   48   51   한국항공우주
185750  51   48   48   51   종근당
009150  46   53   50   49   삼성전기
068790  46   53   50   49   DMS
065450  47   52   47   52   빅텍
005490  51   48   49   50   POSCO
114090  52   47   50   49   GKL
251270  51   48   48   51   넷마블게임즈
073560  45   54   50   49   우리손에프앤지

###2017-08-20 10:30:08.947865
code   SU%  SD%  LU% LD%  NAME
035420  47   52   49   50   NAVER
006400  49   50   49   50   삼성SDI
168330  46   53   46   53   내츄럴엔도텍
017670  53   46   50   49   SK텔레콤
005420  43   56   47   52   코스모화학
011170  45   54   49   50   롯데케미칼
091990  49   50   49   50   셀트리온헬스케어
005930  50   49   47   52   삼성전자
000660  45   54   48   51   SK하이닉스
034220  49   50   49   50   LG디스플레이
035810  46   53   48   51   이지바이오
265520  46   53   50   49   AP시스템
207940  46   53   48   51   삼성바이오로직스
051910  41   58   46   53   LG화학
009830  45   54   48   51   한화케미칼
066970  43   56   47   52   엘앤에프
067170  42   57   46   53   오텍
001440  43   56   47   52   대한전선
201490  50   49   49   50   미투온
194510  47   52   47   52   파티게임즈
035720  46   53   50   49   카카오
047810  51   48   48   51   한국항공우주
185750  51   48   48   51   종근당
009150  46   53   50   49   삼성전기
068790  46   53   50   49   DMS
065450  47   52   47   52   빅텍
005490  51   48   49   50   POSCO
114090  52   47   50   49   GKL
251270  51   48   48   51   넷마블게임즈
073560  45   54   50   49   우리손에프앤지

###2017-08-20 10:35:13.483990
code   SU%  SD%  LU% LD%  NAME
035420  47   52   49   50   NAVER
